Winner,Afn120207,Age295214,Age775214,Bps030214,Bza010213,Bza110213,Bza115213,Edu635213,Edu685213,Hsd310213,Hsd410213,Hsg010214,Hsg096213,Hsg445213,Hsg495213,Inc110213,Inc910213,Lfe305213,Lnd110210,Man450207,Nes010213,Pop010210,Pop060210,Pop645213,Pop715213,Pop815213,Pst120214,Pvy020213,Rhi225214,Rhi325214,Rhi425214,Rhi525214,Rhi625214,Rhi725214,Rhi825214,Rtn130207,Rtn131207,Sbo001207,Sbo015207,Sbo115207,Sbo215207,Sbo315207,Sbo415207,Sbo515207,Sex255214,Vet605213,Wtn220207
Not John Kasich,88157,25.2,13.8,131,817,10120,2.1,85.6,20.9,2.71,20071,22751,8.3,76.8,136200,53682,24571,26.2,594.44,0,2947,54571,91.8,1.6,85,3.5,1.5,12.1,18.7,0.5,1.1,0.1,1.8,2.7,75.6,598175,12003,4067,31.7,0,1.3,15.2,0.7,0,51.4,5922,0
Not John Kasich,436955,22.2,18.7,1384,4871,54988,3.7,89.1,27.7,2.52,73283,107374,24.4,72.6,168600,50221,26766,25.9,1589.78,1410273,16508,182265,114.6,3.6,82.1,5.5,9.8,13.9,9.6,0.7,0.9,0.1,1.6,4.6,83,2966489,17166,19035,27.3,0.4,1,2.7,1.3,0,51.2,19346,0
Not John Kasich,0,21.2,16.5,8,464,6611,-5.6,73.7,13.4,2.66,9200,11799,10.6,67.7,89200,32911,16829,24.6,884.88,0,1546,27457,31,2.9,84.8,5,-2.1,26.7,47.6,0.6,0.5,0.2,0.9,4.5,46.6,188337,6334,1667,27,0,0,0,0,0,46.6,2120,0
Not John Kasich,10757,21,14.8,19,275,3145,7.5,77.5,12.1,3.03,7091,8978,7.3,79,90500,36447,17427,27.6,622.58,0,1126,22915,36.8,1.2,86.6,2.1,-1.8,18.1,22.1,0.4,0.2,0.1,0.9,2.1,74.5,124707,5804,1385,0,0,0,14.9,0,0,45.9,1327,0
Not John Kasich,20941,23.6,17,3,660,6798,3.4,77,12.1,2.7,21108,23826,4.5,81,117100,44145,20730,33.9,644.78,341544,3563,57322,88.9,4.3,88.7,7.3,0.7,15.8,1.8,0.6,0.3,0.1,1.2,8.7,87.8,319700,5622,4458,23.2,0,0,0,0,0,50.5,4540,0
Not John Kasich,3670,21.4,14.9,1,112,0,0,67.8,12.5,2.73,3741,4461,8.7,74.3,70600,32033,18628,26.9,622.81,0,470,10914,17.5,5.4,84.7,5.2,-1.4,21.6,70.1,0.8,0.3,0.7,1.1,7.5,22.1,43810,3995,417,38.8,0,0,0,0,0,45.3,636,0
Not John Kasich,28427,23.6,18,2,393,5711,2.7,76.3,14,2.47,8235,9916,13.3,70.3,74700,29918,17403,24,776.83,399132,1095,20947,27,0.8,94.6,1.7,-3.1,28.4,44,0.4,0.9,0,0.8,1.2,53.1,229277,11326,1769,0,0,3.3,0,0,0,53.6,1497,56712
Not John Kasich,186533,22.2,16,114,2311,34871,0.6,78.6,16.1,2.54,45196,53289,13.8,68.7,100600,39962,20828,22.5,605.87,2679991,6352,118572,195.7,2.4,83.6,4.5,-2.3,21.9,21.1,0.5,0.9,0.1,1.7,3.5,72.9,1542981,13678,8713,24.7,0,1.6,7.2,0.5,0,51.8,11385,0
Not John Kasich,23237,21.4,18.3,8,515,6431,-0.2,75.1,11.8,2.46,13722,16894,11.1,67.9,81200,32402,19291,24.6,596.53,667283,2354,34215,57.4,1.1,85.8,1.3,-0.3,24.1,39.5,0.3,0.8,0.1,1.1,2,56.8,264650,7620,1981,29.3,0,0,0,0,0,52.3,2691,0
Not John Kasich,13948,20.4,20.9,2,379,3864,5.5,78.3,12.8,2.2,11656,16241,4.6,76.1,99400,34907,22030,26.9,553.7,307439,1560,25989,46.9,0.7,90.6,1.1,0.2,21.2,4.6,0.5,0.3,0,1.6,1.5,91.6,186321,7613,2180,14.5,0,0,0,0,0,50.2,2174,62293
Not John Kasich,34073,24.2,15.2,78,703,7396,8.8,76,12.9,2.67,16232,19221,4.1,74.5,102600,41250,20701,31.8,692.85,0,2719,43643,63,5.2,88.8,7.4,0.7,19.5,10.6,0.5,0.4,0.2,1.2,7.7,80.3,359910,8496,0,0,0,0,0,0,0,50.8,3308,155139
Not John Kasich,11345,20.6,20.8,0,255,2900,1.4,75.2,11.8,2.45,5518,7231,4,83.7,58200,33941,20323,33.4,913.5,0,809,13859,15.2,0.3,91.4,1.3,-3.9,21.5,42.4,0.2,0.3,0,0.5,0.8,56.1,84633,5969,1102,44.1,0,0,26.2,0,0,52.5,938,52904
Not John Kasich,23596,22.6,18,11,586,6648,3.7,78.3,11.2,2.63,9631,12583,6.8,72.9,85600,29357,18979,25.5,1238.47,571454,1640,25833,20.9,0.3,92.5,1.3,-3.5,29.3,44.2,0.4,0.5,0,0.8,1.3,53.1,344311,13034,2374,28.6,0,0,0,0,0,52.8,1583,85803
Not John Kasich,4352,21.6,19.4,0,190,2993,4.6,76.5,9.2,2.38,5649,6736,10,75,79900,34002,18694,30.7,603.96,330878,792,13932,23.1,2.2,88.3,3.3,-2.7,19,14.5,0.6,0.3,0,1.8,3.4,79.7,70558,5123,1005,0,0,0,0,0,0,50.6,1076,0
Not John Kasich,4134,23.3,18.4,1,152,1548,-4.8,76,9,2.64,5601,6690,6.3,77.6,100800,38019,19108,31.4,560.1,0,930,14972,26.7,1.5,89.1,2.3,0.7,18.4,3.6,0.4,0.2,0.1,1.2,2.5,92.3,133407,9080,1280,17.7,0,0,0,0,0,50.4,989,5888
Not John Kasich,50080,23.7,15.9,58,954,12762,0.3,82.4,22.5,2.65,18820,22852,13.5,69.9,131000,43768,23380,21.3,678.97,613758,2602,49948,73.6,5.1,83.3,7.5,1.9,18.6,17.7,1.4,1.6,0.4,2.5,6.4,71.3,639623,13665,4032,29.3,0,1.3,6,0.7,0,50.5,6066,131594
Not John Kasich,61935,21.7,18.5,143,1226,19820,6.2,83.5,17.7,2.42,22260,26192,12.3,72.1,99300,39077,21572,22.7,592.62,2083166,3630,54428,91.8,2,87.2,2.6,0.2,17.9,16.3,0.6,0.5,0.1,1.7,2.6,78.8,821284,15040,4757,22.8,0,0,0,0,0,51.8,4376,351388
Not John Kasich,8667,21.4,20.4,3,194,2197,-1.5,77.3,8.8,2.61,4994,7055,7.2,79.1,69600,24658,15605,27.2,850.16,183544,756,13228,15.6,0.6,96.9,2.2,-4.2,32.7,46.2,0.4,0.1,0,1.2,1.8,51.1,71232,5430,980,23,0,0,0,0,0,51.9,1101,76736
Not John Kasich,575,18.3,18.5,0,93,992,3.9,75,9.8,2.42,4506,6458,3,83,75100,37277,18493,30.2,650.93,89585,367,11539,17.7,1.8,87.2,3.3,-7.4,20.9,31.8,0.6,0.2,0.2,1.2,2.3,64.8,20531,1904,545,0,0,0,0,0,0,49.5,934,31647
Not John Kasich,30271,22.1,19.8,8,834,10824,0.7,78.4,14.2,2.48,15041,18778,6,75.1,88800,35869,20391,23.3,1030.46,561168,2201,37765,36.6,1.4,86.7,2.1,0.4,20,13,0.6,0.5,0,1.6,1.6,83.1,424873,11544,2957,0,0,0,0,0,0,51.6,3433,338692
Not John Kasich,5640,22.7,18,2,211,3139,1,76.7,12.7,2.46,5601,6708,8,69.9,70800,36275,21343,30.3,608.84,270809,811,13906,22.8,2.3,86.3,3.2,0.5,19.1,24,0.5,1.8,0.1,1.6,1.7,70.6,75456,5491,1027,30.2,0,0,25.8,0,0,51.1,1098,131874
Not John Kasich,102291,22.5,17.6,77,1714,22185,3.6,79.8,14.8,2.53,31342,37131,8.2,75,106100,38847,20760,26.4,734.84,1393437,5549,80406,109.4,3,87,4.6,1.1,18.8,1.4,0.6,0.5,0,1.2,4.4,92.1,867058,10757,7873,23.9,0,1.1,1.1,0,0,50.5,6167,0
Not John Kasich,37229,23.6,15.4,17,766,11924,-1.6,84.1,17,2.52,19345,22832,13.6,61.1,99400,44889,22685,20.9,561.15,114991,2444,50251,89.6,3.7,78.4,6.3,-1.5,17.4,19.7,0.8,1.3,0.1,2.8,6.1,70.2,332503,6889,2951,0,0,0,0,0,0,50.5,6730,69341
Not John Kasich,33708,25.2,15.6,17,757,10420,-1,77.5,14.2,2.63,16173,20240,19.3,60.9,75700,26519,17245,22,978.7,1174763,2179,43820,44.8,0.8,86.7,1.3,-4.8,35.5,69.5,0.2,0.5,0,0.7,1,28.5,437359,10223,3148,28.8,0,4.4,49.1,0,0,53.7,2897,0
Not John Kasich,47884,23,14,259,1135,14056,-2.3,86.6,21,2.62,28324,33326,8.1,75.5,144600,54766,23856,28.2,618.49,766344,4850,79303,128.2,2.1,85.4,3.6,2.1,13.4,21.2,0.4,0.7,0.1,1.6,2.7,73.7,618313,7982,6513,28.3,0,0,9.1,0,0,51.5,8364,104885
Not John Kasich,31909,22,16.7,26,723,9977,1,76.2,11.7,2.59,13681,16402,9,72.5,84100,30687,16540,23.5,945.08,665336,2111,38319,40.5,0.6,93.4,1.4,-1.5,25.4,32.4,3.4,0.3,0.1,1.7,2.1,60.6,379587,10089,2765,21.3,3.2,0,9,0,0,48.8,2995,93125
Not John Kasich,137966,22.1,17.3,79,2008,29796,-0.5,81.8,14.8,2.55,40217,47505,12.1,72.4,100000,38013,20204,23.9,534.99,1252962,6988,104430,195.2,2.2,85,3.1,-0.9,19,15.5,0.5,0.8,0.3,1.6,3.7,78.4,1114841,10801,9147,25.7,0,0,6.1,0.6,0,51.6,8638,518424
Not John Kasich,10869,21.7,19.6,0,306,3323,-3.8,74.9,13.2,2.41,6956,8404,8.7,74.9,71400,33838,18494,27.5,627.66,186247,1073,17241,27.5,0.6,87.8,0.8,-2.1,19.9,11.9,0.4,0.3,0,1.1,1.4,85,130362,7433,1378,24.3,0,0,5.1,0,0,50.5,1221,22463
Not John Kasich,25389,24.3,15.9,13,510,9369,-8,72.5,11,2.52,12437,14048,12,69.5,82300,36415,18888,26.2,633.82,671954,1863,31704,50,8.4,86.4,13.2,-0.3,21.9,4.6,1.5,0.4,0.2,1.5,16.1,78,269096,8786,2357,23.2,0,0,0,0,0,50.3,1860,67398
Not John Kasich,10402,22.2,19.2,8,400,3791,2.8,77.2,10.4,2.43,10945,12646,5.6,72.1,78100,35625,20199,25.6,574.41,153342,1584,26790,46.6,1.8,82.7,3,-0.3,21.2,9.7,1,0.4,0.1,1.7,3.6,84.1,170044,6612,1736,0,0,0,0,0,0,50.8,2336,231687
Not John Kasich,1226,23.3,17.9,4,99,1379,16.3,76.2,12.8,2.72,3264,4988,8.9,73.2,72700,24226,14930,28,647.11,0,506,9045,14,0.2,92.4,1.4,-5.4,32.9,80.5,0.2,0.2,0,0.6,1,17.9,33639,3697,657,36.1,0,0,60.3,0,0,52.5,502,0
Not John Kasich,3136,23.3,17.3,8,195,1966,0.2,77.4,12.8,2.56,5969,7639,6.1,78,79900,30051,18812,27.1,643.94,0,762,15760,24.5,1.2,90.6,2.7,-3.7,26.6,58.1,0.2,0.3,0,0.6,1.3,40,86735,4794,882,0,0,0,0,0,0,52.8,995,0
Not John Kasich,7415,21.2,20.8,17,293,2754,-2.4,80.1,16.6,2.44,7001,8961,4.6,77.7,97000,41650,21924,26,561.75,425821,1034,17302,30.8,2.9,91.9,5,-0.6,14.4,27.3,0.3,0.7,0,1.2,2.6,68.4,92574,5559,1091,18.2,0,0,0,0,0,51.8,1497,0
Not John Kasich,177224,23.7,16.1,311,2702,43139,0.5,83.9,19.7,2.58,39250,46442,14.6,64.6,122300,40948,23316,20.8,579.82,1310677,6819,101547,175.1,2.4,86.3,4.4,2.6,18,26.7,0.5,0.9,0.1,1.8,3.3,67.3,1909615,19608,10151,25.5,0,1.4,12.1,1.3,0,52.1,9254,0
Not John Kasich,39315,21.7,18.6,39,856,12440,4.2,74.6,13,2.53,20765,24755,6.9,75.2,93400,37634,20486,26.4,1077.87,1525396,3098,53227,49.4,2.2,91.2,3.4,-1.1,16,3.6,1.6,0.5,0.1,2.6,2.9,89.4,410988,7784,4337,26.8,4.3,0,0,0,0,50.7,4000,0
Not John Kasich,1268154,23.1,14.3,2280,16232,319199,2,87.4,30,2.48,259634,305040,24.2,64.7,140800,45429,26906,23.4,1111.28,10260950,44987,658466,592.5,4.1,83.8,5.9,0.4,18,42.9,0.3,1.6,0.1,1.1,3.8,50.8,11066328,16730,55470,29.8,0.4,2.4,23.4,1.3,0,52.8,46613,13756797
Not John Kasich,6008,21.7,20.5,0,241,2943,4.6,76.1,9.5,2.32,6084,7326,9,71.5,66800,36028,19026,25.7,604.85,234908,932,14564,24.1,0.6,87.8,1,-3.3,22.3,11.3,0.2,0.1,0,1.4,1.4,85.8,70780,4887,1340,25.8,0,0,0,0,0,51.2,1127,0
Not John Kasich,136587,20.5,18.2,54,1967,25839,3.4,83.8,21.1,2.36,38458,44353,15.4,69.9,114300,42844,23510,24.5,667.7,1083658,6576,92709,138.8,2.1,86.1,3,0.4,17.2,10.4,0.5,0.9,0.1,1.5,2.4,84.7,1131585,12783,8317,27.6,0,0.8,5.5,0,0,52.1,7000,514555
Not John Kasich,22719,21.7,16.8,0,407,4232,-6.3,77.1,11.9,2.52,13382,15171,5.9,80.1,94200,38551,20181,27.8,690.68,0,1990,34339,49.7,1,90.5,1.9,-2.5,17.5,11.4,5.8,0.2,0,4.4,2.2,76.4,166958,4889,2289,0,0,0,0,1.1,0,51.3,1891,23787
Not John Kasich,201205,21.6,10.3,943,2500,38782,3.4,86.7,32.5,2.49,55864,65566,23.8,61.7,146900,43542,23506,21.4,607.54,0,9361,140247,230.8,5.1,76.4,6.9,9.9,22,23.7,0.4,3.3,0.1,1.5,3.9,67.7,1451634,11099,10319,28.2,0,2,16.2,0,0.4,50.7,10045,0
Not John Kasich,68140,23.4,13.8,140,1308,15305,1.3,81.5,22.7,2.56,31794,35445,8.9,76.6,134500,48619,25020,26.3,559.94,947299,5417,82782,147.8,4.3,88.1,6.4,9.7,14.7,13.5,0.8,1.4,0.2,2.1,5.8,77.2,723200,9785,5914,25.8,1.1,0.8,4.8,1.3,0,49.7,6964,248292
Not John Kasich,595,23.1,17.4,5,98,1835,-1.3,73.9,14.4,2.61,4212,5089,9.5,74.9,71400,26230,18368,30.4,715.91,1156888,685,11299,15.8,0.2,90.4,0.7,-6.4,26.7,72.9,0.3,0.2,0,0.8,1.2,25.3,103636,8184,682,35.2,0,0,57.3,0,0,52.3,626,0
Not John Kasich,19354,18.3,16.8,1,217,5381,3.2,80,19.6,2.29,8107,10217,15.5,65.7,75700,30724,16826,23.1,608.89,0,1166,21452,35.2,1.1,83.8,4.2,-9.4,27.3,81.5,0.2,0.3,0,1.4,1.5,16.2,87509,3932,1584,0,0,0,66.7,0,0,54.2,1662,0
Not John Kasich,596324,22.4,13.7,2677,8095,153304,0.8,90,38.5,2.5,132975,154452,21.4,69.3,164500,58434,31933,21,801.59,8650700,22681,334811,417.7,5.4,84.7,7.1,4.6,12.8,24.6,0.8,2.6,0.1,2.5,4.7,65.5,4438653,14145,26467,29.2,1.4,3.5,12.3,1.3,0,51.2,34203,2970410
Not John Kasich,16684,23,18.6,0,478,5876,1.8,83.7,17.4,2.42,8464,10207,9.1,71.3,89600,35079,22072,22.4,976.88,542135,1019,21027,21.5,0.7,87.4,1.2,-4.4,24,51,0.3,0.3,0.2,0.8,2.4,45.6,197221,9274,1604,21.4,0,0,0,0,0,53.2,1462,64589
Not John Kasich,19081,21.2,20.1,0,547,8006,5,74.6,9.5,2.34,12700,14704,9.6,75.9,78700,32888,19576,24,742.29,794483,1828,30776,41.5,1,86.6,2.5,-1.6,20.9,4.2,0.3,0.3,0.1,1.2,2.5,91.7,209924,7116,2224,0,0,0,0,0,0,50.4,2287,162519
Not John Kasich,103539,24.5,16.3,28,1795,30306,0.1,76.2,15.2,2.7,34250,40328,9.5,71.9,114000,39526,20382,23.9,565.84,3029491,6781,93019,164.4,8,86.1,11.5,1.7,19.5,2.7,1.1,0.7,0.3,1.6,12.9,82.3,1357696,15434,8700,24.9,0,0.9,0,1,0,50.9,7192,1138701
Not John Kasich,562436,24,14.5,746,8567,147574,-0.4,83.9,20.7,2.6,155178,181611,17.4,66.6,124300,43028,22501,23.9,1229.44,12407151,29500,412992,335.9,3.2,85.8,5,0.5,19.8,35.3,1,2,0.1,1.5,2.8,57.8,5225494,12895,34836,29.5,0,2.4,18.8,1.2,0,52.2,33586,3268730
Not John Kasich,14796,23.4,17.9,0,393,5029,-1.8,76.1,10.6,2.71,8333,11274,6.8,74,76900,29203,15749,23.3,1025.68,1251911,1265,23068,22.5,0.9,91.8,1.3,-4.9,28.6,41.1,1.3,0.4,0,1.6,1.2,54.7,212618,9342,2257,24.5,0,0,23.6,0,0,52.6,1237,92815
Not John Kasich,402861,24,13.3,734,5533,101517,1.2,85.6,31.5,2.49,88844,103434,22.4,61.4,122900,44790,24975,19.3,784.25,7956627,15129,229363,292.5,4.3,78.1,5.7,-1.4,21.2,56.7,0.3,2.6,0.1,1.3,3.4,36.3,3238175,14351,21463,30.9,0.7,2.4,35.6,1.3,0,52.6,20008,3275567
Not John Kasich,154700,23.1,15.9,136,2589,42569,2,81.4,19.9,2.55,46192,51496,15.1,71.5,120500,44800,23764,23.7,579.34,0,7506,119490,206.3,5.1,86.4,8,0.1,15.7,12.5,1.1,0.7,0.1,2,7.9,76.6,1637628,14222,10034,21.3,1.8,1,5.9,0,0,50.8,9518,1213925
Not John Kasich,2632,22.4,17.9,0,125,1570,4,70.2,10.4,2.84,3400,4691,11,67,58000,28209,13716,26.8,719.66,0,488,10591,14.7,0.5,92.2,0.8,-7.1,25.6,67.5,0.2,0.4,0.1,0.7,1.3,30.3,34121,3181,854,41.3,0,0,55.7,0,0,53.4,670,10360
Not John Kasich,6302,20.5,17.8,3,266,2707,-1.2,79.7,11,2.42,7926,9441,10.7,72,81900,28741,17153,29.3,881.41,107619,1073,19746,22.4,0.3,91.9,2.6,3.1,27.2,40.2,0.2,0.3,0.4,0.9,4.1,54.7,113222,5805,1268,10,0,0,0,0,0,50.6,1610,36581
Not John Kasich,45692,19.4,14.1,44,628,11009,1.4,81,23,2.4,12959,15807,18.5,57.8,101000,33090,19715,18.7,672.09,0,1970,32899,48.9,4,79.3,5.8,1.5,27.6,36.9,0.7,2.2,0.1,1.6,2.2,57.1,367926,12189,2527,0,0,0,0,0,0,51.9,2516,0
Not John Kasich,9241,22,19.6,0,340,3481,0,72.6,11.1,2.48,9013,11928,5.7,72.3,88600,35213,19830,26.8,580.55,401677,1388,22913,39.5,1.7,87.9,3.4,-1.6,24.5,20.2,0.5,0.3,0.1,1.4,2.9,75,161410,7209,1550,0,0,0,7.1,0,0,51.4,1598,26751
Not John Kasich,56392,25.3,12.5,244,783,10489,-1.9,80.4,16,2.6,21142,26787,19.8,61.3,104400,36143,19678,23.6,641.14,0,3523,52947,82.6,2.2,81.7,5,12.6,22,42.9,0.6,0.8,0.2,2.4,5,49.5,428236,8526,3823,32.4,0,0,33.9,1,0,51.3,5977,0
Not John Kasich,301893,24.4,13,896,4845,76137,2.1,91.2,40.3,2.64,74144,83498,12.1,79,193000,68770,33313,29,784.93,1723017,15634,195085,248.5,6,86.6,8.3,5.9,7.9,12.1,0.4,2.2,0,1.3,6,78.5,2520488,13737,18393,30.5,0.6,0,5.7,2,0,51.2,13991,4385596
Not John Kasich,8199,19.7,16.3,3,202,2966,8.1,75.5,14.9,2.57,5060,6748,16.3,64.7,74100,22186,14156,23.4,903.89,0,823,13763,15.2,0.9,87.9,1.9,-4.3,38,73.5,0.1,0.4,0,0.5,1.1,24.8,59636,4494,730,0,0,0,57.5,0,0,55,706,76499
Not John Kasich,67078,22.3,16.1,65,1230,23763,4.8,78.9,13,2.5,31486,37177,11.6,71.2,92600,35439,19410,23.9,736.78,9054200,3988,82291,111.7,1.6,85,2.8,-1.2,22.9,32.5,0.4,0.4,0,1.5,2.3,63.4,730728,9113,4872,26.6,0,1.5,0,0,0,51.4,6691,0
Not John Kasich,28222,21.1,19.6,16,721,10771,4.1,79.2,16.3,2.49,16373,22029,10.1,72.2,94900,39130,21434,23.9,716.52,0,2478,41616,58.1,1.9,86,2.9,-1.1,19.8,27.3,0.4,0.5,0,1.2,2.3,68.9,362304,8881,3528,35,0,0,13,0,0,51.4,3631,0
Not John Kasich,327429,21.1,11.7,1375,4009,72917,3,86.6,27,2.76,67882,87795,27.9,64.4,153300,45408,22637,21.8,1321.76,10852479,11107,194656,147.3,3.5,81.2,5.8,3.9,18.9,31,0.3,1.5,0.1,1.1,3.3,63.2,2445850,13664,14729,22.5,0.9,0,13.3,0,0,51.7,12198,760623
Not John Kasich,73895,22.1,18.2,8,1250,15669,4.1,76.4,10.5,2.55,25751,30669,5.7,75,82100,37566,20698,29.3,791.19,314804,3509,67023,84.7,1.2,85.3,1.4,-2.3,20.9,6.4,0.5,0.4,0.1,1.3,2.3,89.4,903643,13162,5365,23.8,0,0.6,0,0,0,51.4,5353,256377
Not John Kasich,0,22.5,17,2,217,5756,-4.7,80.5,9.5,2.59,6620,8377,2,86.5,83900,42156,20395,31.8,1080.21,1153449,1031,17581,16.3,0.9,91.3,1.9,-4.3,18.4,24.6,7.9,0.1,0.1,1.3,1.4,65.1,76343,4458,1288,25.6,0,0,0,0,0,51.2,1025,32856
Not John Kasich,12949,24.8,17.7,0,189,1738,-1.1,76.1,11.1,2.9,3866,5615,5.7,74.5,67000,23642,13379,21.6,888.5,0,613,11670,13.1,0.1,93.8,0.9,-4.9,39.2,71,0.2,0.1,0,0.6,1,27.6,75708,6018,928,37.6,0,0,66.2,0,0,52.4,462,21337
Not John Kasich,16564,20.9,20,7,439,6321,-4.3,72.7,10.4,2.52,9489,13406,5.3,74.9,82500,32900,18995,27,612.98,797845,1641,24484,39.9,1.1,83.4,1.8,-1.4,24,1,0.9,0.3,0.2,1.4,2.9,94,166709,6853,2380,19.6,0,0,0,0,0,50.9,1721,165638
Not John Kasich,47781,29.3,13.5,38,463,6796,-2.4,74.5,10.4,3.7,19055,32651,5.8,76.5,83100,31476,12709,30,11197.52,0,2644,71518,6.4,1.7,91.7,57,0.4,36.2,0.9,73.5,0.4,0.1,1.8,6.4,19,276872,3997,3732,0,31,0,0,6.2,0,50.6,4109,18138
Not John Kasich,171397,22.4,19.9,261,2245,26387,-3.1,85.8,22.5,2.47,49174,60504,13.3,68.8,146200,45755,23608,18.9,6165.69,181316,6369,131346,21.3,11.6,80.9,27.4,-3,17.1,4.7,1.7,2.2,0.4,3.1,34.6,56.1,1313671,10284,8740,33,0.7,2.3,2.5,15.5,0,49.2,18795,102250
Not John Kasich,717689,21.8,11.1,560,3518,44834,0.9,87.6,31.1,2.74,46198,64217,19.1,59.5,220400,49555,23382,18.7,18618.89,1526810,8342,134421,7.2,5.3,79.8,23.5,2.4,23,1.6,27.3,1.8,0.2,2.8,13.9,54.9,1691664,13273,11407,31.1,7.6,2.1,0,5.6,0,50.6,8084,475616
Not John Kasich,106693,20.4,26.6,101,1013,10780,-5.5,84.3,16.1,2.54,20601,33099,5.2,75.8,134000,39954,20792,20.8,4757.93,0,3387,53597,11.3,3.4,88.3,14.4,-0.9,21.6,0.9,16.5,0.8,0.1,1.6,18.8,63.2,550763,10545,5250,28.7,4.3,0,0,0,0,50.4,6166,0
Not John Kasich,34671,28.3,12.3,87,487,6499,2.4,84.4,12.3,3.01,11031,13238,9.8,74.3,122200,44943,17168,22.2,4622.6,0,1314,37220,8.1,5,83.7,20.1,2,22.3,2.1,14,0.7,0.2,1.8,32.1,51.4,389416,11211,1603,0,0,0,0,0,0,46.5,2695,67967
Not John Kasich,4888,28.1,11.6,1,90,4834,5.8,84.3,11.1,2.54,3386,4416,6.6,46.1,81000,47992,20516,17.5,1843.13,0,220,8437,4.6,4.7,83.7,24.3,10.8,16,1.8,3.3,0.8,0.2,2.3,46.6,47.8,35595,4587,538,0,0,0,0,0,0,47.7,820,0
Not John Kasich,37986,17.4,36.1,26,345,3739,-2.7,75.3,9.3,1.97,10221,16209,4.1,74,88800,35776,22200,12.4,4499.63,0,793,20489,4.6,13.5,88.7,18.8,-1.3,19.4,1.2,17.8,0.9,0.1,2.9,25.7,59.3,394370,19588,1241,32,2.7,0,0,0,0,48.9,3044,65901
Not John Kasich,8408940,25.1,13.8,18597,86045,1491582,2.3,86.4,29.8,2.72,1411727,1680068,25.1,62.5,176500,53596,27256,25.4,9200.14,40182099,275014,3817117,414.9,14.9,80,26.3,7.1,16.7,5.7,2.8,4.1,0.3,2.8,30.3,57,58688328,15153,311765,27.3,1.2,3.9,2.4,9.2,0,50.6,271518,49760315
Not John Kasich,274299,18.7,26.9,535,3603,39476,0.1,83.8,11.9,2.43,80230,112313,10.2,69.4,133900,39200,20833,18.9,13311.08,1349965,10217,200186,15,6.9,79,10.9,1.6,19.4,1.3,2.9,1.2,0.2,2.3,15.8,78,2837691,14489,14568,25.9,2.6,1.6,1.1,4.6,0,49.7,26193,423845
Not John Kasich,191458,28,15.8,191,1692,16802,-0.8,80.6,14.9,3.05,34343,57408,7.7,72,112200,36927,16626,22.3,9950.42,0,5261,107449,10.8,2.6,86.6,36.8,0.6,30.3,1.3,44.9,0.7,0.1,2,11.1,42.2,1237467,11148,6709,24.7,11.8,0,0,0,0,49.8,7144,209493
Not John Kasich,2135243,21.9,17.7,3250,19962,305393,0.1,87.2,29.8,2.5,384041,448843,22.7,62.7,167500,45841,25269,24,9187.04,10365206,60686,980263,106.7,12.8,79.6,28.5,2.5,19.2,4.1,4.3,3.1,0.2,2.8,36.1,53.3,11928538,11969,75853,30.1,1.4,3.4,1.3,14.1,0,50.8,92409,3056767
Not John Kasich,341933,24.4,18,1744,3311,46431,3.4,84.7,18,2.87,123733,165710,5.9,74.4,120200,50027,20910,31.1,5365.61,2149874,15902,375770,70,10.1,79.8,21.9,7,15.6,4.9,6.8,1.9,0.4,2.8,29.2,57.9,2033110,6718,15591,27,1.9,0,3.1,12.7,0,47.8,35852,450438
Not John Kasich,67226,28.3,15.8,44,1145,10954,-0.1,72.5,19.8,3.11,15078,18101,17.6,66.3,140000,37745,17664,19.8,1236.92,0,4032,47420,38.3,33.5,86.9,76.9,-1.5,26.3,0.9,1.3,0.7,0.1,0.8,82.8,15.6,681267,15958,4599,25,0,1.6,0.6,47.1,0,52,2223,0
Not John Kasich,456458,17.4,28.1,968,5548,53338,1,90.2,24.2,2.28,91349,112523,10.7,70,184100,42987,25186,22.2,8123.5,763989,17762,211033,26,6.8,80.7,10.4,3.7,15.8,0.9,2.1,1,0.1,2.2,14.2,80.9,2695406,12714,23563,25.4,0.8,1,0,6.9,0,51.1,27950,831416
Not John Kasich,271852,26.2,17.4,594,2851,39710,-0.6,71.9,14.3,2.73,70122,89918,12.3,69.6,118000,41595,18840,18.8,5513.99,891604,8290,195751,35.5,25.3,82.7,51.2,3.8,20.2,2.7,2.2,1.5,0.3,2,61.7,32.9,2004643,10596,10158,29.8,2.4,2.1,0,33.9,0,48.8,15380,0
Not John Kasich,15452,23,17.5,18,527,8181,-0.9,84.1,12.4,2.36,7883,9441,9.3,67.5,75500,39633,23045,15.5,988.77,1702196,1285,19019,19.2,2.2,81.6,2.8,-2.2,15.8,24.5,0.4,1,0,1.5,3,70.2,286337,14825,1791,29.4,0,0,0,0,0,51.6,1389,134593
Not John Kasich,15276,23.6,18.4,0,414,6845,-0.9,84.2,12.2,2.47,8656,10106,6.9,75.6,62500,35683,19761,18.5,925.35,0,1078,21853,23.6,2.1,87.4,4.7,-4.1,18.9,25.6,0.8,0.3,0.1,1.4,5.2,67.7,170779,7673,1486,19.4,0,0,0,0,0,51.8,1370,107302
