Winner,Afn120207,Age295214,Age775214,Bps030214,Bza010213,Bza110213,Bza115213,Edu635213,Edu685213,Hsd310213,Hsd410213,Hsg010214,Hsg096213,Hsg445213,Hsg495213,Inc110213,Inc910213,Lfe305213,Lnd110210,Man450207,Nes010213,Pop010210,Pop060210,Pop645213,Pop715213,Pop815213,Pst120214,Pvy020213,Rhi225214,Rhi325214,Rhi425214,Rhi525214,Rhi625214,Rhi725214,Rhi825214,Rtn130207,Rtn131207,Sbo001207,Sbo015207,Sbo115207,Sbo215207,Sbo315207,Sbo415207,Sbo515207,Sex255214,Vet605213,Wtn220207
Not John Kasich,250032,24.2,15,280,3051,55467,1.5,82.6,21.3,2.61,51332,59088,15.9,65.8,114900,41910,22432,22.5,799.96,2885358,8618,136885,171.1,2.6,85.6,3.7,1.7,19.8,42.2,0.4,1.5,0,1.2,2.4,52.9,2237935,16919,10444,28,0,2.2,19,1.1,0,53.2,9328,1358686
Not John Kasich,136648,20,24.1,296,1762,17817,-0.4,84.5,22.7,2.58,23115,34056,17.1,77.8,158800,40131,24437,25.2,813.55,1046220,5087,60158,73.9,3,88.2,3.7,1,21.2,32.6,0.3,0.5,0.1,1.1,3.2,63,702159,11634,6934,29.7,0,0.4,9.9,0,0,52.4,6091,0
Not John Kasich,817772,23.5,14.3,3094,12255,212945,1.4,85.7,31.2,2.56,175149,200831,20.1,67,153600,49022,26643,21.5,785.12,10821412,33938,451225,574.7,8,84.6,11.4,7,15.8,18.5,0.5,2.2,0.1,1.7,8.8,69.3,6036638,13999,42400,26.4,0.4,2.2,7.8,3.1,0,51.4,32427,11581894
Not John Kasich,86061,23.1,17.1,162,1350,22463,0.2,80.4,22.1,2.49,27004,31125,17.7,66,104900,36540,21053,21.2,454.73,2821076,3843,69661,153.2,3.9,83.5,6.3,-0.2,23.1,32.1,0.5,1,0.1,1.2,5.8,60.4,774268,11313,5272,25.7,0,1.3,13.3,1.6,0,53.2,4988,271152
Not John Kasich,17608,22.5,15.8,9,340,3405,1.1,75.8,11.4,2.6,7470,9031,5.5,75.9,79400,34233,19332,28.9,559.9,280315,1139,21090,37.7,1.9,89.4,4.3,-3.2,25.2,53.9,0.4,0.6,0,1.2,3.9,41.2,150702,7146,1787,27.9,0,0,29.8,0,0,48.4,1347,91986
Not John Kasich,1483780,19.3,20.5,3473,8213,98267,3,87.7,22.7,2.42,113490,193090,36.7,69.5,159600,42431,24002,21.2,1133.9,894847,21976,269291,237.5,6.7,83.1,8.3,11,18.6,13.7,0.6,1.2,0.2,1.9,6.1,77.2,4967238,19797,28117,23.6,0.5,1.9,4.7,1.5,0,51.5,27785,907553
Not John Kasich,32368,21.4,15.4,229,560,5842,12.8,78.8,12.5,2.86,8563,10890,9.8,71,90200,36413,17350,27.6,655.32,76412,1451,24777,37.8,9.1,82.2,12.8,9.7,23.7,44.1,0.7,0.8,0.1,1.2,13.9,41,400765,18044,1375,29.6,0,0,26.8,0,0,48.4,1604,145118
Not John Kasich,52193,23.6,16.4,262,1082,14796,-1.1,84.9,19.3,2.55,24084,28012,5.9,76.1,116000,43765,22638,27.8,726.56,1419129,3895,61697,84.9,2.9,86.1,4.6,2.6,16.7,25.2,0.4,0.7,0.1,1.6,4.2,68.7,577695,9883,4840,28,0,1.6,0,0,0,51.5,5443,0
Not John Kasich,56293,21.9,18.8,1063,1230,16615,9.5,82.3,18.7,2.64,28956,34103,8,75,142200,42217,21003,27.5,549.16,1247597,4893,76652,139.6,3.1,88.1,5.2,8.5,21,22.7,0.4,0.9,0.1,1.3,5,70.2,587872,7998,5111,23.4,0,1.6,9.3,1.7,0,50.9,6294,0
Not John Kasich,53708,22.4,16.7,88,935,16339,-2.4,78.2,14.5,2.54,25184,30617,7,71.7,81800,37383,19153,24.6,713.8,1562273,3148,66537,93.2,2.5,86.5,4.6,0,20.6,26,0.4,0.4,0.1,1.3,4.4,68.3,370058,5315,3863,29.3,0,1.7,12.1,0,0,51.5,4965,66953
Not John Kasich,10724,20.7,16.1,9,189,1769,-3.6,72.8,9.1,2.54,6737,7678,5.1,73.2,65000,27373,14740,28.9,410.18,0,871,19220,46.9,1.4,91.2,3.3,-4.6,28,63.4,0.4,0.4,0,1,2.1,33.3,154589,7684,652,17,0,0,0,0,0,47.8,1131,49595
Not John Kasich,434490,23.7,14.2,1412,6168,92583,4.7,88.4,28.7,2.54,103742,118642,12,74.3,140100,54061,26886,25.2,698.91,3465738,18292,262391,375.4,4.9,85.3,7,5.9,13.2,15.2,0.5,1.7,0.1,1.8,5.8,75.7,3666090,15027,22886,24.1,0.4,1.9,5.5,1.5,0,51.1,23090,3588391
Not John Kasich,31211,23.4,17.1,15,506,6965,-5.4,81.8,13.6,2.69,12049,14794,9,67.1,77800,29149,16531,26,489.23,367664,1604,33062,67.6,2.1,93,3.2,-3.4,27.4,56.5,0.7,0.7,0,1.1,2.7,39.2,269937,7925,2155,22.8,0,1.9,18.4,0,0,53.8,2124,104394
Not John Kasich,13417,20.7,15.2,9,328,4791,1.6,69.9,8.7,2.58,9779,11950,9.3,66.1,58200,28297,14577,23.1,479.67,989848,934,28933,60.3,1.9,87.2,3,-3.5,30.7,51,4.7,0.4,0.1,1.8,3.2,39.9,158984,5499,877,15.8,0,0,0,0,0,46.8,1873,0
