fips,Votes,Fraction.Votes,Afn120207,Age295214,Age775214,Bps030214,Bza010213,Bza110213,Bza115213,Edu635213,Edu685213,Hsd310213,Hsd410213,Hsg010214,Hsg445213,Hsg495213,Inc110213,Inc910213,Lfe305213,Lnd110210,Man450207,Nes010213,Pop010210,Pop060210,Pop645213,Pop715213,Pop815213,Pst120214,Pvy020213,Rhi225214,Rhi325214,Rhi425214,Rhi525214,Rhi625214,Rhi725214,Rhi825214,Rtn130207,Rtn131207,Sbo001207,Sbo015207,Sbo115207,Sbo215207,Sbo315207,Sbo415207,Sbo515207,Sex255214,Vet605213,Wtn220207
6079,0,0,767899,18.1,17.5,983,7873,86125,2.7,89.6,31.5,2.5,102154,119143,58.4,426600,58697,29954,21.1,3298.57,2548202,23558,269637,81.7,10.4,78.9,18,3.5,14.3,2.2,1.4,3.8,0.2,3.4,22,69.5,3548407,13559,29920,27.7,1.1,3.6,0,7.9,0,49.1,21244,955049
6081,0,0,2107180,21.5,14.7,1461,20342,347658,4.4,88.6,44.4,2.79,257941,273539,59.4,722200,88202,45732,25.7,448.41,17918237,63460,718451,1602.2,34,87.6,46,5.6,7.6,3,0.9,27.7,1.6,4.4,25.3,40.4,10198837,14625,74604,29.9,0.9,18.6,1.6,11.7,0.5,50.8,32332,12607786
6083,0,0,1361476,22.4,14,755,11211,137623,2.5,79.1,31.3,2.89,141720,154401,52.6,453000,62779,30352,19.4,2735.09,3174119,32058,423895,155,23.4,79,40.2,3.9,16,2.4,2.2,5.7,0.2,3.5,44.4,45.9,4983368,12443,39834,28.3,1.1,5.9,0,13.9,0,49.9,26102,4023586
6085,0,0,4147579,23.1,12.2,9932,46212,926766,3.5,86.5,46.5,2.92,609377,651156,57.5,645600,91702,41513,25,1290.1,45088754,128730,1781642,1381,37.1,84.5,51.2,6.3,10.2,2.9,1.3,34.9,0.5,4,26.6,33.3,26491464,15367,156084,29.7,1,28.5,0,10.8,0.4,49.7,66749,60644055
6087,0,0,513826,20.1,13.5,291,6779,70493,2.9,84.9,37,2.72,93504,105275,58.8,557500,66519,32295,25.4,445.17,1502419,23649,262382,589.4,18.3,84.1,31,3.6,14.6,1.4,1.8,4.8,0.2,4.1,33.2,58.2,3725362,14894,29122,34.2,0,4.8,0,0,0,50.4,12471,0
6089,0,0,280996,21.6,19.2,242,4126,47159,1.5,88.4,18.8,2.54,68980,77915,64.2,220000,44651,23670,20.1,3775.4,662910,11542,177223,46.9,5.2,82.4,8.7,1.5,17.5,1.1,3.1,3,0.2,4.2,9.4,80.9,2526411,14088,0,0,0,0,0,0,0,51,17765,829031
6091,0,0,0,15.7,26.8,4,67,198,22.2,89.4,18.5,2.45,1253,2341,77.8,231400,39009,24996,27.5,953.21,0,235,3240,3.4,7.1,93.6,9.4,-7.3,19.4,0.4,1.9,0.5,0.1,2.3,9.7,86.2,0,0,0,0,0,0,0,0,0,50,440,0
6093,0,0,78518,20.3,22.7,19,1075,8222,1.2,89,23.9,2.26,19417,24106,62.7,200800,37709,22293,18.8,6277.89,257841,3249,44900,7.2,5.4,82.8,9.7,-2.8,21,1.4,4.7,1.3,0.3,5,11.9,77.5,403309,9120,4549,29.3,0,0,0,5.2,0,50.3,4744,169098
6095,0,0,573269,22.9,13.5,646,6677,103470,3.6,87.2,24.3,2.85,141464,154981,61.7,262400,67177,28929,28.9,821.77,8377320,21658,413344,503,20.1,82,29.6,4.3,13,14.8,1.3,15.6,1,6.7,25.6,39.6,4827955,11892,27428,30.9,1.4,15.5,8.9,11.3,0,50.3,34948,0
6097,0,0,1005419,20.6,16.7,663,13370,152105,2.9,86.7,32.2,2.57,185660,207232,60.1,407400,63356,32835,25.3,1575.85,5841879,43454,483878,307.1,16.6,85.3,25.5,3.4,11.9,1.9,2.2,4.3,0.4,3.8,26.1,64.6,6427191,13929,52458,30.4,1,0,0,7.8,0,51,33151,3953592
6099,0,0,615119,27.3,12.1,454,8516,128728,2.3,76.4,16.4,3.07,166883,180278,58.1,172900,49297,21663,26.6,1494.83,9475984,25939,514453,344.2,20.5,81.4,40.7,3.4,20.3,3.3,1.9,5.9,0.9,3.9,44.1,44.3,5661922,11180,31324,30,1.4,8.6,2.6,16.2,0,50.5,25311,3759083
6101,0,0,100653,26.4,14.5,79,1696,19962,4.2,78.3,18.7,2.95,31725,34096,59.6,188500,50408,23602,27.4,602.41,494893,5193,94737,157.3,22.7,82,37,1.2,16.7,2.5,2.3,16.5,0.4,4.3,29.9,47.8,1065391,11644,6625,28.2,0,0,0,0,0,50.3,6740,879004
6103,0,0,56074,24,17.8,78,956,11381,2.6,81.1,13.5,2.66,23374,27239,67.5,177100,41924,20439,23.3,2949.71,556745,3232,63463,21.5,8.9,81.6,18.8,-0.6,19.7,1,3.4,1.4,0.2,3.4,24.1,69.4,735399,12103,4272,32,0,0,0,0,0,50.2,5608,0
6105,0,0,14624,16.9,24,30,253,1477,6.1,91.3,21.3,2.35,5668,8784,71.2,257400,36890,22905,18.3,3179.25,0,970,13786,4.3,3.4,87.2,7.2,-4.5,19.2,0.5,5.3,0.9,0.2,5.2,7.3,82.6,69188,4966,1481,0,0,0,0,0,0,49,1648,0
6107,0,0,379422,31.6,10.4,1092,6142,88795,2,68,13.3,3.35,131642,145503,57.5,163100,42708,17894,21.3,4824.22,5015960,19668,442179,91.7,22.8,84.9,49.2,3.6,26.2,2.2,2.8,4,0.2,2.4,62.9,30.3,3900853,9373,24881,27.2,1.9,0,1.4,26.1,0,49.9,18289,0
6109,0,0,86532,16.8,23.5,55,1289,12223,2.4,89.1,19.5,2.31,22025,31361,69.9,269400,48426,25943,25.1,2220.88,222524,4033,55365,24.9,4.8,84.8,7.6,-2.8,14.5,2.1,2.2,1.3,0.2,3.3,11.5,81.1,582426,10460,5706,0,0,0,0,0,0,47.8,5375,0
6111,0,0,1478160,24.2,13.6,1314,20089,247116,2.6,82.8,31.4,3.06,267076,284504,64.9,442200,76544,32930,24.6,1843.13,8769037,64224,823318,446.7,22.8,86.5,37.8,2.8,11.1,2.2,1.9,7.5,0.3,3.3,42,46.6,11083611,14036,80179,28.8,1.6,7,1.3,15,0,50.5,47834,0
6113,0,0,840344,21.7,11.5,218,3878,60719,1.4,84.3,37.9,2.76,70347,76720,52.9,314300,55918,27730,21.6,1014.69,1853300,11858,200849,197.9,21.7,76,34.7,3.4,19.1,3,1.8,13.8,0.6,5,31.5,48.3,1765735,9106,14782,29.9,0,10.5,0,11.2,0,51.3,10321,6483616
6115,0,0,52440,27.8,11.4,201,820,9130,4.9,79,13.7,2.93,24300,28015,59.1,171000,44902,19244,29.5,631.84,169975,3141,72155,114.2,12.3,76.3,24.7,2.5,21.6,4,3,7.3,0.5,5.9,27.2,56.6,423597,5908,4111,41.6,0,0,0,11,0,49.2,6420,0
